,s.game,,,,,,,,playing,Views,followers,,,,,,,,
31241000576,Zombie Army Trilogy,3,720,60,0,2018-11-14T20:37:18Z,R3KK0N,r3kk0n,Grand Theft Auto V,1570,99,[18+] bisschen chillen!,de,de,,2018-09-25T18:20:16Z,2018-11-14T22:17:57Z,TRUE,FALSE
31240722656,PlanetSide 2,3,720,60.02331,0,2018-11-14T20:13:00Z,Sigieron,sigieron,League of Legends,29076,2244,[FR] POUR TERRA ! [PLANETSIDE 2],fr,en,,2012-05-16T15:39:10Z,2018-11-14T22:18:46Z,FALSE,FALSE
31240508672,,3,1080,30,0,2018-11-14T19:56:08Z,reddopasta,reddopasta,Creative,2243,112,Blame it on Rick,en,en-gb,,2016-09-03T19:54:28Z,2018-11-14T21:32:04Z,TRUE,FALSE
31240289264,FIFA 19,3,1080,30,0,2018-11-14T19:36:43Z,onvrmYT,onvrmyt,Call of Duty: Black Ops 4,914,147,Black Ops 4 Bree,de,de,,2018-09-23T18:31:26Z,2018-11-14T22:19:39Z,FALSE,FALSE
31240019232,,3,720,30,0,2018-11-14T19:13:04Z,strejdaxpro,strejdaxpro,Creative,8510,394,TvoªÌ_m,cs,en,,2013-08-15T03:34:50Z,2018-11-14T22:04:18Z,TRUE,FALSE
31240014848,FIFA 19,3,720,60,0,2018-11-14T19:12:41Z,docter48,docter48,Just Chatting,7687,157,JETZT LSD / TÌ_glich grÌ_sst der Doc..,de,de,,2018-02-25T01:02:09Z,2018-11-14T22:19:09Z,FALSE,FALSE
31239476944,Counter-Strike: Global Offensive,3,720,60,0,2018-11-14T18:27:54Z,Supersaz,supersaz,Dota 2,3047,162,THE STREAM DREAM TEAM - COME SAY HEY,en,en,,2010-11-03T17:56:05Z,2018-11-14T21:21:42Z,FALSE,FALSE
31238514000,,3,480,15,0,2018-11-14T17:01:56Z,cpt_meticulous,cpt_meticulous,Creative,3523,9,Main Channel,en,en,,2017-11-07T17:46:43Z,2018-11-14T22:03:35Z,FALSE,FALSE
31238514000,,3,480,15,0,2018-11-14T17:01:56Z,cpt_meticulous,cpt_meticulous,Creative,3523,9,Main Channel,en,en,,2017-11-07T17:46:43Z,2018-11-14T22:03:35Z,FALSE,FALSE
31238508192,Counter-Strike: Global Offensive,3,720,60,0,2018-11-14T17:01:31Z,FroggyMortuiVivosDocent,froggymortuivivosdocent,PLAYERUNKNOWN'S BATTLEGROUNDS,1282,72,Sve/Eng- FroggyTime!,sv,sv,,2017-05-18T12:47:08Z,2018-11-14T22:19:28Z,TRUE,FALSE
